Date,from_usd_rate,to_usd_rate,cross_rate
2025-12-02,1470.1700439453125,0.8046000003814697,0.0005472836313697868
2025-12-03,1467.3599853515625,0.8028600215911865,0.0005471459148443594
2025-12-04,1465.030029296875,0.7997599840164185,0.0005459000621306407
2025-12-05,1472.3800048828125,0.8037800192832947,0.0005459052803065388
2025-12-08,1471.81005859375,0.8048499822616577,0.0005468436484464964
2025-12-09,1468.510009765625,0.8066380023956299,0.0005492900947432901
2025-12-10,1467.9300537109375,0.805899977684021,0.0005490043450276804
2025-12-11,1469.0400390625,0.7993800044059753,0.0005441512710001541
2025-12-12,1470.8499755859375,0.7947900295257568,0.000540361044782381
2025-12-15,1472.9100341796875,0.7961400151252747,0.000540521821869909
2025-12-16,1467.47998046875,0.7960100173950195,0.000542433306068512
2025-12-17,1471.739990234375,0.795199990272522,0.0005403128239695968
2025-12-18,1474.0,0.795199990272522,0.0005394843896014396
2025-12-19,1474.3599853515625,0.7940099835395813,0.0005385455325893485
2025-12-22,1473.719970703125,0.7958300113677979,0.00054001440381384
2025-12-23,1476.8399658203125,0.7914299964904785,0.000535894216575374
2025-12-24,1478.6700439453125,0.7874500155448914,0.0005325393712879021
2025-12-26,1446.52001953125,0.7880499958992004,0.0005447902450424232
2025-12-29,1441.3299560546875,0.7892400026321411,0.0005475776031135202
2025-12-30,1434.7099609375,0.7886999845504761,0.0005497278237582641
2025-12-31,1437.9100341796875,0.791700005531311,0.0005505907787777332
2026-01-02,1443.6400146484375,0.7920299768447876,0.000548633986872182
2026-01-05,1440.47998046875,0.79339998960495,0.0005507886262652313
2026-01-06,1445.56005859375,0.7921000123023987,0.0005479537204929131
2026-01-07,1444.9599609375,0.7954999804496765,0.0005505342721977921
2026-01-08,1446.1400146484375,0.7976499795913696,0.0005515717506684729
2026-01-09,1450.0799560546875,0.7990099787712097,0.0005510109807635161
2026-01-12,1455.239990234375,0.8015260100364685,0.0005507861352184103
2026-01-13,1464.9300537109375,0.7973600029945374,0.0005442990270932579
2026-01-14,1473.010009765625,0.801010012626648,0.0005437912894794918
2026-01-15,1462.9000244140625,0.7997199892997742,0.0005466675616606728
2026-01-16,1468.8399658203125,0.8034200072288513,0.0005469758625339147
2026-01-19,1471.5799560546875,0.7987200021743774,0.0005427635779409155
2026-01-20,1471.52001953125,0.7978900074958801,0.0005422216462607465
2026-01-21,1477.780029296875,0.7894999980926514,0.000534247305039231
2026-01-22,1464.8299560546875,0.7963899970054626,0.0005436740242194572
2026-01-23,1463.260009765625,0.7889999747276306,0.0005392069553339377
2026-01-26,1444.81005859375,0.7778699994087219,0.0005383891085073366
2026-01-27,1440.97998046875,0.777239978313446,0.0005393829122182602
2026-01-28,1432.510009765625,0.7631999850273132,0.0005327711358555752
2026-01-29,1429.27001953125,0.7657399773597717,0.0005357559921468915
